,term,rank
39,covid19,44186.93342861393
36,coronavirus,30987.272274667983
139,people,12507.462329884796
183,stayhome,11591.37464852995
136,pandemic,10836.619045248002
38,covid,10018.760982348253
46,death,9582.96796367156
4,19,9455.135100526508
196,time,8636.37149703423
63,face,8414.087242740628
24,case,8098.1307129388
197,today,8072.942052825284
87,health,7999.168909106522
111,lockdown,7264.072502418044
92,home,7140.709517240784
45,day,7002.378135431073
42,crisis,6670.096190948254
180,state,6634.334534986197
215,world,6533.159040529704
28,china,6238.218386550338
199,trump,6235.946527131894
207,virus,6130.655761301704
212,work,5994.267191440498
109,life,5747.527022445797
21,business,5687.566896302479
187,support,5647.264366602115
37,country,5600.767425549019
138,patient,5565.326768791697
81,government,5486.565431424906
108,letter,5335.430078111786
120,medium,5334.929739115439
210,week,5194.67097904913
23,care,5178.173665705779
194,testing,5073.361280134177
31,community,5067.691071990504
204,variation,5048.0443172173245
168,selector,5032.130946408763
114,make,5020.003733835395
55,earthday,4990.569425374843
164,response,4979.410755226747
94,hospital,4803.864848185596
159,realdonaldtrump,4803.629839489368
66,fight,4730.657656048177
216,year,4641.632391246423
172,sign,4621.643190896795
3,16,4490.615798186935
40,covid_19,4435.896370030105
213,worker,4392.868313265254
127,news,4390.331547195169
85,hand,4372.080651516159
14,back,4279.072289338077
192,test,4218.31872063023
110,live,4214.989142765491
53,due,4192.063608032531
177,spread,4182.019754283479
80,good,4090.7643791152086
140,person,4065.107142033568
203,vaccine,3961.5723922263364
48,died,3933.5767834737735
181,stay,3840.672747510304
65,family,3824.643932585309
211,white,3818.102390006246
103,join,3788.4759489397
186,student,3742.9823095599804
121,million,3724.39480475425
149,president,3721.0355073606615
89,heart,3714.3128158115082
117,mask,3711.8224556998684
129,nthe,3689.1357123052026
188,symbol,3687.1801618425875
0,000,3683.012026978487
130,number,3681.229818761564
174,social,3667.6121035536344
133,open,3552.6454548357274
54,earth,3548.5682585843224
11,american,3511.785298685366
116,mark,3499.304655774519
12,april,3499.087168350465
201,uk,3482.6131091207344
104,latest,3472.5410681614426
206,video,3468.312164827921
22,call,3452.9627417817355
163,report,3387.113772180239
214,working,3368.326830290457
67,find,3368.165592389294
175,socialdistancing,3362.262192188459
119,medical,3352.1745655790114
84,great,3348.2218765949897
202,update,3301.171327162513
58,economy,3267.6504590624468
151,protect,3260.6531866630394
51,doctor,3256.5551856228626
161,regional,3256.2954183888733
99,india,3234.8840599969817
5,2020,3211.2699273765343
209,watch,3210.052118748765
171,show,3208.1440963422724
184,staysafe,3195.2430708839884
153,public,3189.418722659625
144,pointing,3164.87671818386
167,safe,3158.909655497746
100,indicator,3085.1221305081867
10,america,3083.488422430768
34,continue,3037.50416545494
112,long,3037.3819540168774
157,read,3034.0847766161487
16,big,3030.171985236094
125,month,3023.0605893633447
135,outbreak,3005.6718117864407
131,nwe,2978.7590297966276
102,job,2969.3291908328288
122,minister,2961.6924509726487
44,data,2959.4631141942555
96,impact,2955.705525261723
137,part,2953.1420384096164
97,important,2944.945600706334
146,positive,2922.1438951704913
205,ve,2895.1731267234914
173,small,2866.653731604499
113,made,2860.171500288283
78,global,2818.9074098698297
107,left,2818.511559270275
162,relief,2818.406831338311
57,economic,2803.2556397952935
198,total,2799.039338459765
26,check,2793.326103528416
19,black,2771.880505058896
176,sound,2760.5551609899594
75,fund,2758.6305590898155
56,earthday2020,2739.7180365234963
124,money,2732.692857660491
71,food,2713.27592182161
20,breaking,2702.015306188941
170,share,2689.1018525297623
69,flu,2684.219682342396
8,action,2658.8524909808652
15,backhand,2657.8312052108627
72,free,2653.7192494088717
17,bill,2652.044283395829
43,daily,2649.809656411813
166,risk,2648.5817455279357
169,service,2640.11257112222
115,making,2637.319067723082
105,leader,2570.597659314061
70,follow,2570.4591803740614
91,hiragana,2556.7116280835253
27,child,2545.196844440149
182,stayathome,2544.414893580782
155,question,2544.3212038714696
145,police,2539.161265630218
191,team,2532.4225032691497
185,stop,2527.3257442129284
165,result,2526.3978948165404
154,quarantine,2525.463468704054
52,dr,2523.859565813276
178,staff,2516.0133324057015
143,pm,2510.218292671484
200,type,2493.9968501282515
25,challenge,2489.3651407319535
35,corona,2482.8492848031715
134,order,2476.5115565897977
82,governor,2472.5842976232534
150,prolonged,2458.1737511017673
88,healthcare,2446.8203993724164
141,plan,2433.5081532121244
41,covikatakana,2418.3068613777655
193,tested,2387.48001160306
83,govt,2386.3390060183865
118,measure,2378.5358920438775
50,distancing,2375.7078910854693
106,learn,2372.743133916485
76,future,2372.4913202118946
13,arrow,2370.405885928445
190,taking,2366.6237657781408
98,index,2355.6432249821833
2,100,2301.3189544782863
95,human,2282.1499168031355
62,end,2269.932070300787
64,fact,2258.628999588109
93,hope,2255.472051048799
29,city,2247.52815081605
59,effort,2240.6827896820937
128,nh,2239.5080145771685
77,give,2214.4389230005463
189,system,2211.62233609671
123,modifier,2200.7618865557215
61,emoji,2200.4217402381205
49,disease,2199.0115852674035
68,fitzpatrick,2196.3531152712503
90,heavy,2194.035277247689
30,climate,2162.981805756584
33,confirmed,2156.554110895937
156,rate,2147.0588103456234
195,thought,2133.566274972004
32,company,2118.145474959908
179,start,2110.1671907673667
160,recovery,2109.2967957873752
6,22,2109.028454635011
101,infection,2104.326168197393
132,online,2103.8365492362122
1,10,2078.8648623715367
158,real,2077.395830962022
73,friend,2068.7587984379065
60,emergency,2068.1725327425406
9,africa,2033.4782362283008
147,post,2017.0198070765582
18,billion,2010.7027356404183
148,ppe,2002.6511915127523
74,full,1970.9076530770274
152,provide,1950.4175908921898
142,planet,1940.613296664673
208,vulnerable,1901.251120143989
47,demand,1900.4162460735988
79,globe,1868.8471423205906
86,happy,1862.6634457219714
126,na,1824.4757568798245
7,40,1748.656207102663
