,term,rank
49,covid,24479.991970824114
50,covid19,24153.370827435283
158,people,10173.199969888343
127,longcovid,9681.45566011633
52,covidisnotover,9355.410052487341
153,pandemic,8398.545335795192
5,19,8265.99654886765
133,mask,8001.380108908039
32,case,7680.717666224163
149,omicron,6746.917762399641
248,year,6197.59183550876
214,time,6165.983787629515
230,vaccine,6087.34419877208
58,day,5636.657766524949
95,health,5593.96109646974
59,death,5279.887069799703
242,week,4805.975962242707
215,today,4568.454731683494
46,coronavirus,4556.0318144693965
156,patient,4176.896645587438
235,virus,4138.394405179787
111,infection,4079.238490445256
181,risk,4011.903088655652
65,disease,3968.4799038504475
126,long,3710.3680680787465
122,life,3664.9490516036117
34,child,3654.927563369476
91,government,3604.65342631859
209,test,3560.010932585297
8,2022,3544.7380256859406
163,positive,3542.218153423833
55,data,3511.3658564837256
178,report,3462.1947083290997
25,ba2,3431.991095829305
243,work,3284.8188929760177
140,million,3279.775958784754
116,kid,3185.5709455207557
146,news,3127.6062782681443
199,stop,3125.2212309674132
132,march,3113.77904667195
222,truth,3066.470617964784
35,china,3059.196800374923
185,school,3012.9398849115237
244,world,2929.197664930175
142,month,2888.9990098158964
224,uk,2871.6596127043076
100,home,2836.194595326025
47,country,2819.15276639084
228,vaccinated,2807.412082628945
102,hospital,2794.5555895963244
89,good,2706.425931119391
225,ukraine,2687.1802229931004
211,testing,2670.549913938295
119,latest,2656.7171050818934
125,lockdown,2651.6700600518957
229,vaccination,2618.1989044784914
62,detrick,2590.486887595399
218,top,2582.5626124131663
170,public,2574.618754367945
82,fort,2573.050771096394
201,study,2521.921931012808
173,read,2515.0945977543147
130,make,2513.726593402787
70,due,2479.260893477582
172,rate,2444.5962608013488
232,ve,2443.1275812908093
168,protect,2373.396411575955
183,safe,2366.0411889546463
159,person,2344.8176607917344
234,video,2341.300604801119
189,shanghai,2339.8414203229045
19,analytics,2287.5678164772826
31,care,2278.857561979459
238,wave,2269.2084364399057
205,symptom,2252.2642445872957
231,variant,2249.4462036206583
151,ontario,2201.510606045523
210,tested,2143.7703893906714
74,evidence,2137.7091803577255
0,000,2122.8947869830836
78,finally,2096.11962275346
54,daily,2086.4417196504055
162,population,2067.2775083714587
198,stay,2053.2619698587055
28,brain,2045.7064952679789
26,back,2023.1856470284204
81,flu,2001.2990085196457
6,20,1997.2004632681299
43,continue,1995.3314613182865
71,end,1994.5324095330268
202,support,1986.782738471669
139,mild,1979.9674236212163
206,system,1958.1530799246207
148,official,1952.5417506368603
190,share,1952.2049924080345
197,state,1950.9829488149635
9,22,1949.843558744249
213,thread,1929.5372207463663
241,wearing,1927.5570906352202
109,india,1902.1181844920122
85,friend,1882.4772917141772
30,cancer,1878.0088206500875
68,dr,1866.7009595806735
154,part,1860.131963381625
138,medium,1857.8362686522653
114,issue,1852.4960921230718
191,show,1851.5528236897017
171,publichealth,1842.891762036484
98,high,1837.359962168632
137,medical,1836.715978278066
10,24,1835.3582131487253
2,10,1818.0399637298217
194,spread,1802.0863183230672
226,update,1790.5440404545107
193,source,1787.9207841811283
92,great,1777.0438395725812
135,measure,1771.7426480831314
103,hospitalization,1758.2467222544171
84,free,1751.6528732395614
240,wearamask,1734.8584791541216
129,made,1731.630663427448
1,03,1726.845786577819
180,research,1726.1992009571034
33,cdnpoli,1709.1848379243502
174,real,1699.906340637713
64,died,1699.225368978435
204,surging,1683.723639856771
115,job,1682.8790194526916
239,wear,1679.531689656664
147,number,1679.3484159457805
123,live,1676.9180365096336
80,find,1674.6350362893947
44,continues,1671.4287177466342
188,severe,1670.520735207042
208,team,1664.6857737114349
200,story,1651.211772342071
66,doctor,1633.8467433574185
36,city,1623.4472205160155
192,sick,1622.3605797931714
106,important,1611.9274876342581
110,infected,1598.7952495838194
77,family,1593.7846715161234
93,group,1588.264477294478
7,2020,1575.1442936236708
53,crisis,1569.0926145755325
186,science,1568.2379764021389
72,england,1548.4397079759353
184,sarscov2,1547.9332929788263
237,war,1537.8904098596654
136,mecfs,1536.949524608348
24,ba,1531.9056307852086
131,mandate,1529.155083507665
249,young,1518.5906035136481
27,booster,1517.4442115564539
45,control,1515.6669320333967
39,community,1511.2126647193695
195,stage,1504.6758863905516
105,impact,1491.8187468492583
40,company,1488.5407856848813
176,reinfection,1469.6686601812542
223,tune,1467.6844188472637
221,treatment,1460.3399500334033
164,post,1448.4098706283444
196,start,1434.9171262425978
51,covid_19,1432.3349718532909
152,organ,1426.3362848903942
169,protection,1421.9632176744128
203,surge,1419.6123924805015
166,problem,1408.484627860624
94,hand,1407.7699754236894
18,american,1407.5534147958876
76,face,1404.7647140382796
112,insight,1404.5234220947948
121,level,1402.455113568444
245,worse,1399.5802691385668
38,coming,1392.3141423596567
118,late,1387.4237779011646
29,canada,1374.2228060097714
134,masking,1370.2492152850075
69,drug,1369.0597697952937
56,datascience,1367.0834265010265
217,told,1360.1533063455736
179,reported,1351.970005421675
207,taking,1351.6552444612237
12,50,1348.7529355674092
143,mother,1347.9023708216348
16,age,1345.1817754719955
48,county,1343.6011019684572
83,found,1342.2729906388365
97,heart,1341.3376071859846
101,hope,1340.7898397525144
165,prevent,1337.7824033449187
41,condition,1326.354517754265
120,learn,1319.4058401775387
17,ago,1313.2597609153936
23,avoid,1312.2777044006746
20,antibody,1304.3948765856387
160,place,1299.2601845339889
67,doesn,1297.4784345970666
